Name,Platform,Genre,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
100 All-Time Favorites,Nintendo,Puzzle,2009,Ubisoft,0.35,0.12,0.0,0.04,0.51,2000
100 Classic Books,Nintendo,Misc,2008,Nintendo,0.13,0.52,0.0,0.02,0.67,2000
100 Classic Games,Nintendo,Misc,2011,Rondomedia,0.0,0.03,0.0,0.0,0.04,2010
1000 Cooking Recipes from ELLE à table,Nintendo,Misc,2010,Nintendo,0.0,0.02,0.0,0.0,0.03,2010
1001 Touch Games,Nintendo,Action,2011,Avanquest,0.12,0.17,0.0,0.04,0.33,2010
101-in-1 Explosive Megamix,Nintendo,Puzzle,2008,Nordcurrent,0.05,0.13,0.0,0.02,0.2,2000
101-in-1 Party Megamix Wii,Nintendo,Misc,2009,Nordcurrent,0.19,0.01,0.0,0.02,0.23,2000
101-in-1 Sports Megamix,Nintendo,Sports,2010,Nordcurrent,0.08,0.0,0.0,0.01,0.08,2010
101-in-1 Sports Party Megamix,Nintendo,Sports,2010,Nordcurrent,0.02,0.0,0.0,0.0,0.03,2010
1080°: TenEighty Snowboarding,Nintendo,Sports,1998,Nintendo,1.25,0.61,0.13,0.05,2.03,1990
11eyes: CrossOver,PlayStation,Adventure,2010,5pb,0.0,0.0,0.02,0.0,0.02,2010
11eyes: CrossOver,Xbox,Adventure,2009,5pb,0.0,0.0,0.02,0.0,0.02,2000
12-Sai. Honto no Kimochi,Nintendo,Adventure,2014,Happinet,0.0,0.0,0.07,0.0,0.07,2010
12-Sai. Koisuru Diary,Nintendo,Adventure,2016,Happinet,0.0,0.0,0.04,0.0,0.04,2010
12Riven: The Psi-Climinal of Integral,PlayStation,Adventure,2008,CyberFront,0.0,0.0,0.04,0.0,0.04,2000
15 Days,PC,Adventure,2009,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,2000
1701 A.D.,PC,Simulation,2006,Deep Silver,0.0,0.25,0.0,0.05,0.3,2000
18 Wheeler: American Pro Trucker,Nintendo,Racing,2002,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,2000
18 Wheeler: American Pro Trucker,PlayStation,Racing,2001,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,2000
18 Wheels of Steel: Extreme Trucker,PC,Racing,2009,Rondomedia,0.0,0.02,0.0,0.0,0.02,2000
18 Wheels of Steel: Extreme Trucker 2,PC,Racing,2011,Rondomedia,0.08,0.02,0.0,0.01,0.11,2010
187: Ride or Die,PlayStation,Racing,2005,Ubisoft,0.07,0.06,0.0,0.02,0.15,2000
187: Ride or Die,Xbox,Racing,2005,Ubisoft,0.05,0.01,0.0,0.0,0.06,2000
1942,Other,Shooter,1985,Capcom,0.65,0.14,0.21,0.0,1.0,1980
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,Nintendo,Racing,2005,THQ,0.09,0.03,0.0,0.0,0.12,2000
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,Nintendo,Action,2007,THQ,1.26,0.47,0.0,0.03,1.76,2000
2 Games in 1: Disney Princess & The Lion King,Nintendo,Misc,2004,THQ,1.25,0.46,0.0,0.03,1.75,2000
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,Nintendo,Action,2005,THQ,0.22,0.08,0.0,0.01,0.31,2000
2 Games in 1: Sonic Advance & ChuChu Rocket!,Nintendo,Misc,2005,THQ,1.31,0.49,0.0,0.03,1.83,2000
2 Games in 1: Sonic Battle & ChuChu Rocket!,Nintendo,Misc,2005,THQ,0.44,0.16,0.0,0.01,0.61,2000
2 Games in 1: Sonic Pinball Party & Columns Crown,Nintendo,Misc,2005,Sega,0.04,0.02,0.0,0.0,0.06,2000
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,Nintendo,Platform,2005,THQ,0.33,0.12,0.0,0.01,0.45,2000
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Xbox,Misc,2013,Ubisoft,0.09,0.01,0.0,0.01,0.12,2010
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Xbox,Misc,2004,Sega,0.4,0.11,0.0,0.02,0.53,2000
2-in-1 Game Pack: Spider-Man & Spider-Man 2,Nintendo,Platform,2005,Activision,0.06,0.02,0.0,0.0,0.09,2000
2002 FIFA World Cup,Nintendo,Sports,2002,Electronic Arts,0.04,0.01,0.0,0.0,0.05,2000
2002 FIFA World Cup,PlayStation,Sports,2002,Electronic Arts,0.21,0.17,0.16,0.06,0.59,2000
2002 FIFA World Cup,Xbox,Sports,2002,Electronic Arts,0.14,0.04,0.0,0.01,0.19,2000
2010 FIFA World Cup South Africa,PlayStation,Sports,2010,Electronic Arts,0.3,0.64,0.07,0.22,1.23,2010
2010 FIFA World Cup South Africa,PlayStation,Sports,2010,Electronic Arts,0.09,0.24,0.03,0.12,0.48,2010
2010 FIFA World Cup South Africa,Nintendo,Sports,2010,Electronic Arts,0.23,0.15,0.01,0.04,0.43,2010
2010 FIFA World Cup South Africa,Xbox,Sports,2010,Electronic Arts,0.32,0.43,0.02,0.09,0.86,2010
2014 FIFA World Cup Brazil,PlayStation,Sports,2014,Electronic Arts,0.15,0.39,0.01,0.16,0.71,2010
2014 FIFA World Cup Brazil,Xbox,Sports,2014,Electronic Arts,0.14,0.28,0.0,0.04,0.47,2010
24: The Game,PlayStation,Adventure,2006,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,2000
25 to Life,PlayStation,Shooter,2006,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,2000
25 to Life,Xbox,Shooter,2006,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,2000
2Xtreme,PlayStation,Sports,1996,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,1990
"3 in 1: Solitaire, Mahjong & Tangram",Nintendo,Misc,2010,Deep Silver,0.0,0.07,0.0,0.01,0.08,2010
300: March to Glory,PlayStation,Action,2007,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,2000
3D Baseball,PlayStation,Sports,1996,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,1990
3D Dot Game Heroes,PlayStation,Role-Playing,2009,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,2000
3D Lemmings,PlayStation,Puzzle,1995,Psygnosis,0.03,0.02,0.0,0.0,0.06,1990
3D Tank Warfare Simulator Panzer Front,PlayStation,Simulation,1999,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,1990
3DS Classic Collection,Nintendo,Misc,2016,Sega,0.02,0.0,0.0,0.0,0.03,2010
3Xtreme,PlayStation,Action,1999,989 Studios,0.5,0.34,0.0,0.06,0.9,1990
3rd Super Robot Wars Z Jigoku Hen,PlayStation,Role-Playing,2014,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,2010
3rd Super Robot Wars Z Jigoku Hen,PlayStation,Role-Playing,2014,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,2010
3rd Super Robot Wars Z: Tengoku-Hen,PlayStation,Action,2015,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,2010
3rd Super Robot Wars Z: Tengoku-Hen,PlayStation,Action,2015,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,2010
4 Elements,PC,Puzzle,2009,Mastertronic,0.0,0.04,0.0,0.01,0.05,2000
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,Nintendo,Misc,2005,Atari,0.11,0.0,0.0,0.01,0.12,2000
4 Nin uchi Mahjong,Other,Misc,1984,Nintendo,0.0,0.0,1.45,0.0,1.45,1980
40 Winks,PlayStation,Platform,1999,GT Interactive,0.17,0.12,0.0,0.02,0.31,1990
428: Fuusa Sareta Shibuya de,PlayStation,Adventure,2009,Spike,0.0,0.0,0.02,0.0,0.02,2000
428: Fuusa Sareta Shibuya de,PlayStation,Adventure,2009,Spike,0.0,0.0,0.04,0.0,0.04,2000
428: Fuusa Sareta Shibuya de,Nintendo,Adventure,2008,Sega,0.0,0.0,0.13,0.0,0.13,2000
4x4 EVO 2,Nintendo,Racing,2002,Vivendi Games,0.11,0.03,0.0,0.0,0.14,2000
4x4 EVO 2,Xbox,Racing,2001,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,2000
4x4 Evolution,PlayStation,Racing,2001,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,2000
50 Cent: Blood on the Sand,PlayStation,Shooter,2009,THQ,0.1,0.06,0.01,0.03,0.19,2000
50 Cent: Blood on the Sand,Xbox,Shooter,2009,THQ,0.12,0.07,0.0,0.02,0.21,2000
50 Cent: Bulletproof,PlayStation,Action,2005,Vivendi Games,0.85,0.76,0.0,0.16,1.77,2000
50 Cent: Bulletproof,PlayStation,Action,2006,Vivendi Games,0.08,0.0,0.0,0.01,0.09,2000
50 Cent: Bulletproof,Xbox,Action,2005,Vivendi Games,0.33,0.1,0.0,0.02,0.44,2000
50 Classic Games,Nintendo,Misc,2012,Avanquest Software,0.0,0.02,0.0,0.0,0.02,2010
50 Classic Games,Nintendo,Misc,2009,Destineer,0.52,0.0,0.0,0.04,0.55,2000
64 de Hakken! Tamagotchi Minna de Tamagotchi World,Nintendo,Misc,1997,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,1990
7 Days to Die,PlayStation,Action,2016,Telltale Games,0.03,0.07,0.0,0.02,0.12,2010
7 Days to Die,Xbox,Action,2016,Telltale Games,0.02,0.02,0.0,0.0,0.04,2010
7 Roses: A Darkness Rises,PC,Misc,2015,Avanquest Software,0.0,0.02,0.0,0.0,0.02,2010
7 Wonders II,Nintendo,Puzzle,2009,Rondomedia,0.14,0.15,0.0,0.03,0.32,2000
7 Wonders of the Ancient World,Nintendo,Puzzle,2007,Funsta,0.1,0.01,0.0,0.01,0.13,2000
7 Wonders of the Ancient World,PlayStation,Puzzle,2007,Mumbo Jumbo,0.07,0.0,0.0,0.01,0.08,2000
7 Wonders: Treasures of Seven,Nintendo,Puzzle,2011,Avanquest,0.02,0.03,0.0,0.01,0.05,2010
7th Dragon,Nintendo,Role-Playing,2009,Sega,0.0,0.0,0.14,0.0,0.14,2000
7th Dragon 2020,PlayStation,Role-Playing,2011,Sega,0.0,0.0,0.2,0.0,0.2,2010
7th Dragon 2020-II,PlayStation,Role-Playing,2013,Sega,0.0,0.0,0.13,0.0,0.13,2010
7th Dragon III Code: VFD,Nintendo,Role-Playing,2015,Sega,0.03,0.0,0.12,0.0,0.16,2010
99 no Namida,Nintendo,Adventure,2008,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,2000
"999: Nine Hours, Nine Persons, Nine Doors",Nintendo,Adventure,2009,ChunSoft,0.37,0.0,0.03,0.03,0.43,2000
A Boy and His Blob,Nintendo,Platform,2009,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22,2000
A Bug's Life,Nintendo,Platform,1998,Activision,0.49,0.13,0.0,0.01,0.63,1990
A Bug's Life,PlayStation,Platform,1998,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79,1990
A Collection of Activision Classic Games for the Atari 2600,PlayStation,Misc,1998,Activision,0.76,0.52,0.0,0.09,1.37,1990
A Collection of Classic Games from the Intellivision,PlayStation,Misc,1999,Activision,0.17,0.12,0.0,0.02,0.31,1990
A Game of Thrones: Genesis,PC,Strategy,2011,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,2010
A Good Librarian Like a Good Shepherd: Library Party,PlayStation,Action,2015,Kaga Create,0.0,0.0,0.03,0.0,0.03,2010
A New Beginning,PC,Adventure,2010,Deep Silver,0.0,0.05,0.0,0.01,0.06,2010
A Ressha de Gyoukou 2001,PlayStation,Simulation,2001,ArtDink,0.0,0.0,0.03,0.0,0.03,2000
A Ressha de Ikou DS,Nintendo,Simulation,2009,ArtDink,0.0,0.0,0.04,0.0,0.04,2000
A Vampyre Story,PC,Adventure,2008,Crimson Cow,0.0,0.01,0.0,0.0,0.02,2000
A Witch's Tale,Nintendo,Role-Playing,2009,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,2000
A llI S.V.: A Ressha de Gyoukou 3 Super Version,Nintendo,Simulation,1995,Pack-In-Video,0.0,0.0,0.06,0.0,0.06,1990
A-Train,PlayStation,Simulation,1995,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,1990
A-Train 6,PlayStation,Strategy,2000,Midas Interactive Entertainment,0.0,0.0,0.06,0.0,0.06,2000
A-Train: City Simulator,Nintendo,Simulation,2014,ArtDink,0.0,0.0,0.06,0.0,0.06,2010
A. IV Evolution: A Ressha de Ikou 4,PlayStation,Strategy,1994,ArtDink,0.0,0.0,0.24,0.02,0.25,1990
A.C.E.: Another Century's Episode,PlayStation,Simulation,2005,Banpresto,0.0,0.0,0.26,0.0,0.26,2000
A.C.E.: Another Century's Episode 2,PlayStation,Simulation,2006,Banpresto,0.0,0.0,0.18,0.0,0.18,2000
A.C.E.: Another Century's Episode 3: The Final,PlayStation,Simulation,2007,Banpresto,0.0,0.0,0.26,0.0,0.26,2000
A.C.E.: Another Century's Episode Portable,PlayStation,Simulation,2011,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,2010
A.C.E.: Another Century's Episode R,PlayStation,Simulation,2010,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,2010
ABBA: You Can Dance,Nintendo,Misc,2011,Ubisoft,0.19,0.5,0.0,0.11,0.8,2010
AC/DC LIVE: Rock Band Track Pack,PlayStation,Misc,2008,MTV Games,0.08,0.06,0.0,0.02,0.16,2000
AC/DC LIVE: Rock Band Track Pack,PlayStation,Misc,2008,MTV Games,0.21,0.01,0.0,0.02,0.24,2000
AC/DC LIVE: Rock Band Track Pack,Nintendo,Misc,2008,MTV Games,0.25,0.0,0.0,0.02,0.28,2000
AC/DC LIVE: Rock Band Track Pack,Xbox,Misc,2008,MTV Games,0.21,0.0,0.0,0.02,0.23,2000
AIR,PlayStation,Adventure,2007,Prototype,0.0,0.0,0.02,0.0,0.02,2000
AKB1/149: Love Election,PlayStation,Adventure,2013,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,2010
AKB1/149: Love Election,PlayStation,Adventure,2012,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,2010
AKB1/149: Love Election,PlayStation,Adventure,2012,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,2010
AKB1/48: Idol to Guam de Koishitara...,PlayStation,Misc,2011,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,2010
AKB1/48: Idol to Koishitara...,PlayStation,Misc,2010,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,2010
AKB48+Me,Nintendo,Action,2012,Unknown,0.0,0.0,0.11,0.0,0.11,2010
AMF Bowling 2004,Xbox,Sports,2003,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,2000
AMF Bowling Pinbusters!,Nintendo,Sports,2008,Vir2L Studios,0.06,0.0,0.0,0.0,0.07,2000
AMF Bowling Pinbusters!,Nintendo,Sports,2007,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91,2000
AMF Bowling World Lanes,Nintendo,Sports,2008,Bethesda Softworks,0.33,0.0,0.0,0.03,0.36,2000
AMF Xtreme Bowling,PlayStation,Sports,2006,Mastertronic,0.01,0.01,0.0,0.0,0.02,2000
AMNESIA World,PlayStation,Adventure,2014,Idea Factory,0.0,0.0,0.03,0.0,0.03,2010
APB Reloaded,PC,Role-Playing,2011,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04,2010
ASH: Archaic Sealed Heat,Nintendo,Role-Playing,2007,Nintendo,0.0,0.0,0.12,0.0,0.12,2000
ATV Offroad Fury,PlayStation,Racing,2001,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,2000
ATV Offroad Fury 2,PlayStation,Racing,2002,THQ,1.92,0.2,0.0,0.06,2.18,2000
ATV Offroad Fury 3,PlayStation,Racing,2004,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,2000
ATV Offroad Fury Pro,PlayStation,Racing,2006,Sony Computer Entertainment,0.37,0.04,0.0,0.05,0.46,2000
ATV Offroad Fury: Blazin' Trails,PlayStation,Racing,2005,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,2000
ATV Quad Kings,Nintendo,Racing,2010,Storm City Games,0.1,0.0,0.0,0.01,0.11,2010
ATV Quad Kings,Nintendo,Racing,2009,Zoo Digital Publishing,0.21,0.0,0.0,0.01,0.22,2000
ATV Quad Power Racing 2,Nintendo,Racing,2003,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,2000
ATV Quad Power Racing 2,PlayStation,Racing,2003,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84,2000
ATV Quad Power Racing 2,Xbox,Racing,2003,Acclaim Entertainment,0.36,0.07,0.0,0.01,0.45,2000
ATV/Monster Truck Mayhem,Nintendo,Racing,2007,"Destination Software, Inc",0.33,0.0,0.0,0.02,0.36,2000
ATV: Quad Frenzy,Nintendo,Racing,2005,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,2000
ATV: Quad Power Racing,Nintendo,Racing,2002,Liquid Games,0.18,0.07,0.0,0.0,0.26,2000
ATV: Quad Power Racing,PlayStation,Racing,2000,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04,2000
Aa Megami-samaa,PlayStation,Adventure,2007,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01,2000
Abunai: Koi no Sousa Shitsu,PlayStation,Action,2012,Quinrose,0.0,0.0,0.01,0.0,0.01,2010
Abunai: Koi no Sousa Shitsu,PlayStation,Action,2015,Asgard,0.0,0.0,0.02,0.0,0.02,2010
Academy of Champions: Soccer,Nintendo,Sports,2009,Ubisoft,0.1,0.02,0.0,0.01,0.13,2000
Accel World: Ginyoku no Kakusei,PlayStation,Adventure,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,2010
Accel World: Ginyoku no Kakusei,PlayStation,Adventure,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,2010
Accel World: Kasoku no Chouten,PlayStation,Adventure,2013,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,2010
Accel World: Kasoku no Chouten,PlayStation,Adventure,2013,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,2010
Ace Attorney 6,Nintendo,Adventure,2016,Capcom,0.0,0.0,0.27,0.0,0.27,2010
Ace Attorney Investigations 2,Nintendo,Adventure,2011,Capcom,0.0,0.0,0.26,0.0,0.26,2010
Ace Attorney Investigations: Miles Edgeworth,Nintendo,Adventure,2009,Capcom,0.27,0.15,0.3,0.04,0.76,2000
Ace Combat 04: Shattered Skies,PlayStation,Simulation,2001,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,2000
Ace Combat 2,PlayStation,Simulation,1997,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,1990
Ace Combat 3: Electrosphere,PlayStation,Simulation,1999,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,1990
Ace Combat 5: The Unsung War,PlayStation,Simulation,2004,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,2000
Ace Combat 6: Fires of Liberation,Xbox,Simulation,2007,Atari,0.69,0.04,0.22,0.06,1.02,2000
Ace Combat X: Skies of Deception,PlayStation,Simulation,2006,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,2000
Ace Combat Zero: The Belkan War,PlayStation,Simulation,2006,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,2000
Ace Combat: Assault Horizon,PlayStation,Action,2011,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74,2010
Ace Combat: Assault Horizon,Xbox,Action,2011,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,2010
Ace Combat: Assault Horizon Legacy,Nintendo,Simulation,2011,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,2010
Ace Combat: Joint Assault,PlayStation,Simulation,2010,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,2010
Achtung Panzer: Kharkov 1943,PC,Strategy,2010,Mamba Games,0.0,0.01,0.0,0.0,0.02,2010
Act of Aggression,PC,Strategy,2015,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,2010
Action Bass,PlayStation,Action,2000,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,2000
Action Force,Other,Action,1982,CPG Products,0.5,0.03,0.0,0.01,0.54,1980
Active Health with Carol Vorderman,Nintendo,Sports,2009,Nintendo,0.0,0.18,0.0,0.01,0.19,2000
Active Life Explorer,Nintendo,Sports,2010,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,2010
Active Life: Extreme Challenge,Nintendo,Sports,2009,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48,2000
Active Life: Magical Carnival,Nintendo,Misc,2011,Namco Bandai Games,0.04,0.01,0.0,0.0,0.05,2010
Active Life: Outdoor Challenge,Nintendo,Sports,2008,Atari,0.79,0.44,0.19,0.14,1.55,2000
Activision Anthology,Nintendo,Misc,2003,Activision,0.03,0.01,0.0,0.0,0.05,2000
Activision Anthology,PlayStation,Misc,2002,Activision,0.25,0.19,0.0,0.06,0.5,2000
Activision Hits: Remixed,PlayStation,Misc,2006,Activision,0.05,0.0,0.0,0.0,0.06,2000
Actua Tennis,PlayStation,Sports,1997,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,1990
Adidas Power Soccer,PlayStation,Sports,1996,Psygnosis,0.02,0.01,0.0,0.0,0.04,1990
Adidas Power Soccer 98,PlayStation,Sports,1998,Psygnosis,0.01,0.01,0.0,0.0,0.02,1990
Adrenalin Misfits,Xbox,Racing,2010,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,2010
Advance Guardian Heroes,Nintendo,Role-Playing,2004,Ubisoft,0.03,0.01,0.0,0.0,0.04,2000
Advance Wars,Nintendo,Strategy,2001,Nintendo,0.5,0.19,0.0,0.01,0.7,2000
Advance Wars 2: Black Hole Rising,Nintendo,Strategy,2003,Nintendo,0.47,0.17,0.0,0.01,0.65,2000
Advance Wars: Dual Strike,Nintendo,Strategy,2005,Nintendo,0.3,0.03,0.04,0.03,0.4,2000
Advent Rising,Xbox,Action,2005,THQ,0.1,0.03,0.0,0.0,0.13,2000
Adventure Island,Other,Platform,1986,Hudson Soft,0.0,0.0,1.05,0.0,1.05,1980
Adventure Time: Explore the Dungeon Because I Don't Know!,Nintendo,Action,2013,D3Publisher,0.1,0.03,0.0,0.01,0.14,2010
Adventure Time: Explore the Dungeon Because I Don't Know!,PlayStation,Action,2013,D3Publisher,0.02,0.02,0.0,0.01,0.05,2010
Adventure Time: Explore the Dungeon Because I Don't Know!,Nintendo,Action,2013,D3Publisher,0.02,0.01,0.0,0.0,0.03,2010
Adventure Time: Explore the Dungeon Because I Don't Know!,Xbox,Action,2013,D3Publisher,0.03,0.04,0.0,0.01,0.08,2010
Adventure Time: Finn & Jake Investigations,Nintendo,Action,2015,Little Orbit,0.02,0.05,0.0,0.01,0.07,2010
Adventure Time: Finn & Jake Investigations,PlayStation,Action,2015,Little Orbit,0.02,0.07,0.0,0.02,0.1,2010
Adventure Time: Finn & Jake Investigations,PlayStation,Action,2015,Little Orbit,0.03,0.04,0.0,0.01,0.09,2010
Adventure Time: Finn & Jake Investigations,Nintendo,Action,2015,Little Orbit,0.03,0.02,0.0,0.0,0.05,2010
Adventure Time: Finn & Jake Investigations,Xbox,Action,2015,Little Orbit,0.02,0.06,0.0,0.01,0.09,2010
Adventure Time: Finn & Jake Investigations,Xbox,Action,2015,Little Orbit,0.02,0.02,0.0,0.0,0.05,2010
Adventure Time: The Secret of the Nameless,Nintendo,Adventure,2014,Little Orbit,0.01,0.0,0.0,0.0,0.02,2010
Adventure Time: The Secret of the Nameless,Xbox,Adventure,2014,Little Orbit,0.01,0.0,0.0,0.0,0.01,2010
Adventure Time: The Secret of the Nameless Kingdom,Nintendo,Action,2014,Little Orbit,0.0,0.07,0.0,0.0,0.08,2010
Adventure Time: The Secret of the Nameless Kingdom,Xbox,Action,2014,Little Orbit,0.0,0.08,0.0,0.01,0.09,2010
Adventures of Lolo,Other,Puzzle,1989,HAL Laboratory,0.06,0.0,0.0,0.0,0.06,1980
Adventures of Tron,Other,Action,1981,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,1980
Adventures to Go!,PlayStation,Role-Playing,2008,Zushi Games,0.1,0.0,0.01,0.01,0.13,2000
Aedis Eclipse: Generation of Chaos,PlayStation,Role-Playing,2006,Idea Factory,0.02,0.0,0.0,0.0,0.02,2000
Aegis of Earth: Protonovus Assault,PlayStation,Action,2016,PQube,0.01,0.01,0.0,0.0,0.03,2010
Aegis of Earth: Protonovus Assault,PlayStation,Action,2016,PQube,0.02,0.0,0.0,0.0,0.02,2010
Aegis of Earth: Protonovus Assault,PlayStation,Action,2016,PQube,0.02,0.01,0.0,0.01,0.04,2010
Aeon Flux,PlayStation,Action,2005,THQ,0.02,0.02,0.0,0.01,0.04,2000
